District,Month,Visitors,Year,Season
Adilabad,January,621850,2020,Monsoon
Adilabad,February,29421,2020,Monsoon
Adilabad,March,9430,2020,Monsoon
Adilabad,June,1909,2020,Winter
Adilabad,July,549,2020,Winter
Adilabad,August,654,2020,Autumn
Adilabad,September,3978,2020,Summer
Adilabad,October,15128,2020,Autumn
Adilabad,November,27525,2020,Autumn
Adilabad,December,61403,2020,Monsoon
Bhadradri Kothagudem ,January,269310,2020,Summer
Bhadradri Kothagudem ,February,238140,2020,Winter
Bhadradri Kothagudem ,March,79871,2020,Autumn
Bhadradri Kothagudem ,June,15399,2020,Autumn
Bhadradri Kothagudem ,July,15130,2020,Winter
Bhadradri Kothagudem ,August,26350,2020,Autumn
Bhadradri Kothagudem ,September,30957,2020,Autumn
Bhadradri Kothagudem ,October,49203,2020,Summer
Bhadradri Kothagudem ,November,76900,2020,Autumn
Bhadradri Kothagudem ,December,80842,2020,Winter
Hyderabad,January,1157153,2020,Monsoon
Hyderabad,February,868641,2020,Autumn
Hyderabad,March,321650,2020,Summer
Hyderabad,September,21861,2020,Monsoon
Hyderabad,October,167510,2020,Winter
Hyderabad,November,272276,2020,Winter
Hyderabad,December,442895,2020,Monsoon
Jagtial ,January,340174,2020,Monsoon
Jagtial ,February,186484,2020,Winter
Jagtial ,March,347014,2020,Winter
Jagtial ,June,14228,2020,Autumn
Jagtial ,July,41752,2020,Autumn
Jagtial ,August,34496,2020,Monsoon
Jagtial ,September,83012,2020,Autumn
Jagtial ,October,83004,2020,Autumn
Jagtial ,November,154438,2020,Summer
Jagtial ,December,155757,2020,Monsoon
Jangaon ,January,28150,2020,Autumn
Jangaon ,February,26390,2020,Summer
Jangaon ,March,21430,2020,Monsoon
Jangaon ,July,2600,2020,Summer
Jangaon ,August,2750,2020,Autumn
Jangaon ,September,2700,2020,Monsoon
Jangaon ,October,3050,2020,Summer
Jangaon ,November,12070,2020,Monsoon
Jangaon ,December,11860,2020,Summer
Jayashankar Bhoopalpally,January,50500,2020,Summer
Jayashankar Bhoopalpally,February,59000,2020,Autumn
Jayashankar Bhoopalpally,March,34200,2020,Winter
Jayashankar Bhoopalpally,July,5600,2020,Summer
Jayashankar Bhoopalpally,August,7000,2020,Winter
Jayashankar Bhoopalpally,September,7600,2020,Winter
Jayashankar Bhoopalpally,October,8000,2020,Winter
Jayashankar Bhoopalpally,November,15000,2020,Autumn
Jayashankar Bhoopalpally,December,15200,2020,Autumn
Jogulamba Gadwal ,January,146441,2020,Winter
Jogulamba Gadwal ,February,481110,2020,Winter
Jogulamba Gadwal ,March,24013,2020,Summer
Jogulamba Gadwal ,June,26013,2020,Summer
Jogulamba Gadwal ,July,88182,2020,Monsoon
Jogulamba Gadwal ,August,106925,2020,Winter
Jogulamba Gadwal ,September,131485,2020,Winter
Jogulamba Gadwal ,October,116753,2020,Monsoon
Jogulamba Gadwal ,November,228325,2020,Winter
Jogulamba Gadwal ,December,184380,2020,Monsoon
Kamareddy ,January,45,2020,Summer
Kamareddy ,February,42,2020,Summer
Kamareddy ,March,30,2020,Monsoon
Kamareddy ,July,38,2020,Summer
Kamareddy ,August,42,2020,Winter
Kamareddy ,September,55,2020,Autumn
Kamareddy ,October,39,2020,Winter
Kamareddy ,November,46,2020,Autumn
Kamareddy ,December,48,2020,Winter
Karimnagar ,January,12057,2020,Winter
Karimnagar ,February,8359,2020,Autumn
Karimnagar ,March,6100,2020,Monsoon
Karimnagar ,June,540,2020,Monsoon
Karimnagar ,July,850,2020,Winter
Karimnagar ,August,2500,2020,Summer
Karimnagar ,September,2250,2020,Monsoon
Karimnagar ,October,3258,2020,Monsoon
Karimnagar ,November,4100,2020,Autumn
Karimnagar ,December,4200,2020,Autumn
Khammam,January,114752,2020,Summer
Khammam,February,114417,2020,Monsoon
Khammam,March,57137,2020,Autumn
Khammam,June,12806,2020,Winter
Khammam,July,9104,2020,Monsoon
Khammam,August,7942,2020,Monsoon
Khammam,September,9078,2020,Monsoon
Khammam,October,27858,2020,Winter
Khammam,November,40647,2020,Winter
